Tumor Duke network  with 295 segments (582 subsegments with min. segment length  50.000000)												
990.000000 810.000000 150.000000 box dimensions in microns												
34 28 6 number of tissue points in x,y,z directions												
100	outer bound distance											
150	max. segment length											
4		maximum number of segments per node										
582	total number of segments											
SegName	Type	StartNode	EndNode	Diam	Flow[nl/min]	Hd						
376	5	5173	5174	20.6	7.303906	0.373363	*					
377	5	5174	5175	20.6	7.303906	0.373363	*					
378	5	5175	5176	20.6	7.303906	0.373363	*					
379	5	5176	5177	20.6	7.303906	0.373363	*					
380	5	5177	678	20.6	7.303906	0.373363	*					
381	5	3200	5178	13.8	-6.6972	0.4	*					
382	5	5178	3215	13.8	-6.6972	0.4	*					
383	5	678	5179	25	11.324717	0.40181	*					
384	5	5179	695	25	11.324717	0.40181	*					
385	5	678	674	10.7	-4.02081	0.453484	*					
386	5	695	197	8.2	0.370134	0.072157	*					
387	5	695	1270	19.299999	10.954582	0.412948	*					
388	5	1270	3438	22.299999	16.058596	0.414759	*					
389	5	1270	5180	17.6	-5.104013	0.418645	*					
390	5	5180	5181	17.6	-5.104013	0.418645	*					
391	5	5181	5182	17.6	-5.104013	0.418645	*					
392	5	5182	5183	17.6	-5.104013	0.418645	*					
393	5	5183	3496	17.6	-5.104013	0.418645	*					
394	5	3496	5184	7	0.289186	0.070922	*					
395	5	5184	5185	7	0.289186	0.070922	*					
396	5	5185	5186	7	0.289186	0.070922	*					
397	5	5186	1544	7	0.289186	0.070922	*					
398	5	3496	3492	15.9	-5.3932	0.4	*					
399	5	1544	5187	5.2	-0.184964	0.14907	*					
400	5	5187	3370	5.2	-0.184964	0.14907	*					
401	5	1544	822	7.4	0.47415	0.101407	*					
402	5	822	5188	9	-0.827036	0.45612	*					
403	5	5188	5189	9	-0.827036	0.45612	*					
404	5	5189	3370	9	-0.827036	0.45612	*					
405	5	3370	5190	7	-1.012	0.4	*					
406	5	5190	1735	7	-1.012	0.4	*					
407	5	3438	5191	28.200001	14.289509	0.431391	*					
408	5	5191	217	28.200001	14.289509	0.431391	*					
409	5	3438	5192	13	1.769086	0.280417	*					
410	5	5192	5193	13	1.769086	0.280417	*					
411	5	5193	5194	13	1.769086	0.280417	*					
412	5	5194	5195	13	1.769086	0.280417	*					
413	5	5195	1685	13	1.769086	0.280417	*					
414	5	1685	5196	31.799999	5.659757	0.369557	*					
415	5	5196	5197	31.799999	5.659757	0.369557	*					
416	5	5197	5198	31.799999	5.659757	0.369557	*					
417	5	5198	5199	31.799999	5.659757	0.369557	*					
418	5	5199	3349	31.799999	5.659757	0.369557	*					
419	5	1685	5200	25	-3.89067	0.410089	*					
420	5	5200	5201	25	-3.89067	0.410089	*					
421	5	5201	5202	25	-3.89067	0.410089	*					
422	5	5202	5203	25	-3.89067	0.410089	*					
423	5	5203	5204	25	-3.89067	0.410089	*					
424	5	5204	5205	25	-3.89067	0.410089	*					
425	5	5205	3274	25	-3.89067	0.410089	*					
426	5	3274	5206	7	0.029334	0	*					
427	5	5206	5207	7	0.029334	0	*					
428	5	5207	5208	7	0.029334	0	*					
429	5	5208	5209	7	0.029334	0	*					
430	5	5209	3343	7	0.029334	0	*					
431	5	3274	5210	16	-3.920004	0.40702	*					
432	5	5210	5211	16	-3.920004	0.40702	*					
433	5	5211	3301	16	-3.920004	0.40702	*					
434	5	3301	5212	4.7	0.068796	0	*					
435	5	5212	5213	4.7	0.068796	0	*					
436	5	5213	3343	4.7	0.068796	0	*					
437	5	3301	3299	18	-3.9888	0.4	*					
438	5	3343	5214	7.8	0.09813	0	*					
439	5	5214	5215	7.8	0.09813	0	*					
440	5	5215	239	7.8	0.09813	0	*					
441	5	239	5216	52.799999	105.501045	0.415427	*					
442	5	5216	3349	52.799999	105.501045	0.415427	*					
443	5	227	223	59.299999	-87.488686	0.416713	*					
444	5	227	5217	37.099998	-15.363639	0.419154	*					
445	5	5217	217	37.099998	-15.363639	0.419154	*					
446	5	223	218	53.200001	-42.222187	0.43463	*					
447	5	223	5218	39.400002	-45.266502	0.4	*					
448	5	5218	929	39.400002	-45.266502	0.4	*					
449	5	929	5219	28.4	-43.267601	0.4	*					
450	5	5219	5220	28.4	-43.267601	0.4	*					
451	5	5220	5221	28.4	-43.267601	0.4	*					
452	5	5221	905	28.4	-43.267601	0.4	*					
453	5	929	5222	12.4	-1.9989	0.4	*					
454	5	5222	1302	12.4	-1.9989	0.4	*					
455	5	3349	5223	52.799999	111.160797	0.413092	*					
456	5	5223	3525	52.799999	111.160797	0.413092	*					
457	5	217	5224	15.1	-1.074129	0.256362	*					
458	5	5224	5225	15.1	-1.074129	0.256362	*					
459	5	5225	197	15.1	-1.074129	0.256362	*					
460	5	197	187	9.1	-0.703995	0.353209	*					
461	5	187	5226	8.5	-0.314585	0.301876	*					
462	5	5226	5227	8.5	-0.314585	0.301876	*					
463	5	5227	1728	8.5	-0.314585	0.301876	*					
464	5	187	1651	6.9	-0.38941	0.394678	*					
465	5	1651	5228	6.3	-0.03781	0.345192	*					
466	5	5228	1152	6.3	-0.03781	0.345192	*					
467	5	1651	1649	5.5	-0.3516	0.4	*					
468	5	1152	3586	5.9	0.04289	0.448317	*					
469	5	1152	5229	5.3	-0.0807	0.4	*					
470	5	5229	1135	5.3	-0.0807	0.4	*					
471	5	1728	166	8.6	-0.49752	0.253781	*					
472	5	1728	5230	8.9	0.182935	0.171072	*					
473	5	5230	1031	8.9	0.182935	0.171072	*					
474	5	166	5231	8.3	0.173576	0.089231	*					
475	5	5231	967	8.3	0.173576	0.089231	*					
476	5	166	5232	9	-0.671096	0.21122	*					
477	5	5232	155	9	-0.671096	0.21122	*					
478	5	155	5233	9	0.006377	0	*					
479	5	5233	5234	9	0.006377	0	*					
480	5	5234	2375	9	0.006377	0	*					
481	5	155	1470	7.8	-0.677472	0.209233	*					
482	5	1470	1467	5.5	-2.2559	0.4	*					
483	5	1467	1612	9	-1.27	0.4	*					
484	5	1467	1458	9	-0.9859	0.4	*					
485	5	2375	5235	25	13.276301	0.370359	*					
486	5	5235	1896	25	13.276301	0.370359	*					
487	5	2375	5236	23.700001	-13.269925	0.370537	*					
488	5	5236	2396	23.700001	-13.269925	0.370537	*					
489	5	2396	1340	20.799999	-5.877502	0.337852	*					
490	5	2396	5237	22.1	-7.392423	0.396523	*					
491	5	5237	5238	22.1	-7.392423	0.396523	*					
492	5	5238	594	22.1	-7.392423	0.396523	*					
493	5	1896	2362	23.9	12.1259	0.384302	*					
